asset1,asset2,pval
CAT,DAL,0.027051982468594984
CAT,DOV,0.04581532813165028
CAT,ETN,0.050028720478253116
CAT,EMR,0.060039237404940056
CAT,EFX,0.053319322482140934
CAT,EXPD,0.06304572479453101
CAT,FAST,0.21464114703715592
CAT,FDX,0.09731740519132226
CAT,FTV,0.08268961960855975
CAT,FBHS,0.06679293621521934
CAT,GNRC,0.050984403145012284
CAT,GD,0.0674514307843678
CAT,GE,0.07293853977835582
CAT,HON,0.05377291507745934
CAT,HWM,0.18974955390277515
CAT,HII,0.09203155530934287
CAT,IEX,0.09762607556388547
CAT,INFO,0.13237854422397166
CAT,ITW,0.07776474127627575
CAT,IR,0.071232325323884
CAT,JBHT,0.07003324469113704
CAT,J,0.10362197992451466
CAT,JCI,0.04326332612412944
CAT,KSU,0.07825596956109543
CAT,LHX,0.0616418433591758
CAT,LDOS,0.09583550715884692
CAT,LMT,0.028830128147885353
CAT,MAS,0.06931072209368705
CAT,NLSN,0.17311410714913933
CAT,NSC,0.07763750746933192
CAT,NOC,0.06055072310859413
CAT,ODFL,0.0755129462483541
CAT,OTIS,0.058853450799972715
CAT,PCAR,0.17384023109454932
CAT,PH,0.1260596165696934
CAT,PNR,0.06359309818034281
CAT,PWR,0.03213230043403948
CAT,RTX,0.03139587508455263
CAT,RSG,0.04862420857540127
CAT,RHI,0.029397912848091356
CAT,ROK,0.05496552164228911
CAT,ROL,0.02900729061179138
CAT,ROP,0.013393296816773672
CAT,SNA,0.44791259994573884
CAT,LUV,0.055608893440485106
CAT,SWK,0.0676703169103547
CAT,TDY,0.008198113675529093
CAT,TXT,0.052438294687189684
CAT,TT,0.06967252355528485
CAT,TDG,0.15122247277278555
CAT,UNP,0.0504501976903771
CAT,UAL,0.029900270769581603
CAT,UPS,0.08715931450427528
CAT,URI,0.06885437608217858
CAT,VRSK,0.06276214693621993
CAT,GWW,0.08566981473204976
CAT,WAB,0.07122111477963518
